,name,price,rating,review_count,category,city,latitude,longitude
0,Jajaja,2.0,4.5,580,vegan,new york,40.7141530317142,-73.9904247969389
1,Spicy Moon,1.9059405940594059,5.0,26,vegan,new york,40.72674,-73.98722
2,Le Botaniste,1.9059405940594059,4.5,78,vegan,new york,40.7204278,-74.0002028
3,Ramen Hood,2.0,4.5,102,vegan,new york,40.7223112701284,-73.9973774072879
4,Bali Kitchen,2.0,4.5,96,vegan,new york,40.725371,-73.987617
5,Original Buddha Bodai Kosher Vegetarian Restaurant,2.0,4.0,909,vegan,new york,40.7138543,-73.9989484
6,Divya's Kitchen,2.0,4.5,262,vegan,new york,40.72378,-73.98849
7,Cocoron,2.0,4.0,940,vegan,new york,40.72031,-73.99305
8,May Kaidee East Broadway,1.9059405940594059,4.5,17,vegan,new york,40.7140637,-73.987464979291
9,by CHLOE. Seaport District,1.9059405940594059,3.5,30,vegan,new york,40.7065318,-74.0041342
10,NoodleLove,1.9059405940594059,4.0,34,vegan,new york,40.72102,-73.9956
11,Govinda's Vegetarian,1.0,4.5,160,vegan,new york,40.6876177700883,-73.9821957150399
12,Ladybird,2.0,4.0,202,vegan,new york,40.726769311104,-73.9847712789363
13,by CHLOE. SOHO,2.0,4.0,273,vegan,new york,40.72277,-73.9972
14,The Shakespeare,2.0,4.0,334,vegan,new york,40.7506062,-73.9801755
15,Dirt Candy,3.0,4.0,555,vegan,new york,40.7179075,-73.9907183
16,Urban Vegan Kitchen,2.0,4.0,289,vegan,new york,40.7302,-74.00368
17,Goemon,2.0,4.0,114,vegan,new york,40.72083,-73.99509
18,Hartbreakers,1.9059405940594059,4.5,31,vegan,new york,40.7017552430266,-73.9226628918423
19,Bar Verde,2.0,4.5,135,vegan,new york,40.7260849061034,-73.9897361397743
20,XYST,2.0,4.5,183,vegan,new york,40.73865,-73.99451
21,Thrills by CHLOE.,1.9059405940594059,4.5,5,vegan,new york,40.72662,-73.99435
22,Luanne's Wild Ginger,2.0,4.5,52,vegan,new york,40.6896,-73.96982
23,Delice & Sarrasin,2.0,4.5,321,vegan,new york,40.73377,-74.00065
24,Ube Kitchen,1.0,4.0,21,vegan,new york,40.7213689,-73.9607664
25,Bunna Cafe,2.0,4.5,513,vegan,new york,40.705042,-73.928078
26,Champs Diner,2.0,4.0,1280,vegan,new york,40.7084397372605,-73.9407808520115
27,Paulie Gee's,2.0,4.5,1150,vegan,new york,40.729546,-73.958568
28,Kimbap Lab,2.0,5.0,28,vegan,new york,40.71611,-73.95974
29,The Little Beet,2.0,4.0,106,vegan,new york,40.74393,-73.9887
30,Greedi Vegan,2.0,4.5,91,vegan,new york,40.6763513,-73.9523247
31,Beyond Sushi,2.0,4.5,888,vegan,new york,40.7329,-73.98588
32,Avant Garden - Brooklyn,1.9059405940594059,4.5,27,vegan,new york,40.7106201,-73.9583207
33,LuAnne's Wild Ginger All-Asian Vegan,2.0,4.0,329,vegan,new york,40.687936,-73.989925
34,Awash Ethiopian Restaurant,2.0,3.5,299,vegan,new york,40.72658,-73.98682
35,Red Bamboo,2.0,4.0,1622,vegan,new york,40.7313183707867,-74.0003546456233
36,Jones Wood Foundry,2.0,4.0,577,vegan,new york,40.7703854340118,-73.9535711917713
37,by CHLOE. Williamsburg,2.0,4.0,180,vegan,new york,40.71524,-73.95946
38,Next Level Burger,2.0,4.0,117,vegan,new york,40.6866202166365,-73.978229173433
39,Nix,3.0,4.0,436,vegan,new york,40.73323,-73.99359
40,Double Zero,2.0,4.0,379,vegan,new york,40.7261288,-73.9896645
41,Two Tablespoons,2.0,3.5,34,vegan,new york,40.6908759,-73.9828655
42,Mother of Pearl,2.0,4.0,358,vegan,new york,40.72563,-73.98403
43,Toad Style,2.0,4.0,313,vegan,new york,40.68688,-73.92322
44,ABCV,3.0,4.0,353,vegan,new york,40.7379039812942,-73.9888740099824
45,Orchard Grocer,2.0,4.5,138,vegan,new york,40.717731,-73.990165
46,Rip's Malt Shop,2.0,4.5,58,vegan,new york,40.69756,-73.9719
47,Secret Garden,1.9059405940594059,4.5,2,vegan,new york,40.6837053,-73.9349975
48,Riverdel,2.0,4.5,103,vegan,new york,40.67337,-73.96307
49,Plant Food + Wine,1.9059405940594059,4.5,31,vegan,new york,40.7261989,-73.989751
50,Happy Zoe Vegan Bakery,1.0,4.5,54,vegan,new york,40.724233,-73.949646
51,Blossom,3.0,4.0,965,vegan,new york,40.745513,-74.002365
52,Sacred Chow,2.0,4.0,524,vegan,new york,40.72959,-73.99944
53,Beyond Sushi,2.0,4.5,19,vegan,new york,40.706433,-74.00766
54,Green Symphony,1.0,4.0,79,vegan,new york,40.738083,-73.9968139
